Season,DayNum,T2_TeamID,T2_Score,T1_TeamID,T1_Score,NumOT,T2_FGM,T2_FGA,T2_FGM3,T2_FGA3,T2_FTM,T2_FTA,T2_OR,T2_DR,T2_Ast,T2_TO,T2_Stl,T2_Blk,T2_PF,T1_FGM,T1_FGA,T1_FGM3,T1_FGA3,T1_FTM,T1_FTA,T1_OR,T1_DR,T1_Ast,T1_TO,T1_Stl,T1_Blk,T1_PF,PointDiff,Label,T1_seed,T2_seed,Seed_diff
2003,136,1221,68,1266,72,0,24.0,54.0,5.0,15.0,15.0,25.0,14.0,20.0,14.0,9.0,4.0,1.0,20.0,22.0,51.0,9.0,16.0,19.0,23.0,11.0,20.0,14.0,10.0,4.0,3.0,23.0,4,1,3,14,11
2003,136,1356,71,1281,72,0,26.0,65.0,8.0,19.0,11.0,21.0,11.0,18.0,19.0,13.0,6.0,0.0,19.0,28.0,52.0,5.0,13.0,11.0,18.0,9.0,32.0,7.0,23.0,4.0,6.0,19.0,1,1,6,11,5
2003,136,1454,69,1323,70,0,23.0,66.0,8.0,23.0,15.0,20.0,14.0,23.0,15.0,12.0,11.0,3.0,25.0,23.0,54.0,3.0,13.0,21.0,25.0,11.0,33.0,7.0,20.0,6.0,6.0,19.0,1,1,5,12,7
2003,136,1354,54,1328,71,0,21.0,52.0,6.0,20.0,6.0,8.0,7.0,22.0,8.0,18.0,7.0,2.0,23.0,24.0,52.0,10.0,18.0,13.0,24.0,11.0,24.0,16.0,14.0,8.0,3.0,12.0,17,1,1,16,15
2003,136,1360,69,1390,77,0,20.0,61.0,4.0,18.0,25.0,32.0,17.0,25.0,7.0,11.0,3.0,0.0,18.0,29.0,64.0,8.0,24.0,11.0,15.0,12.0,29.0,16.0,14.0,4.0,8.0,24.0,8,1,4,13,9
2003,136,1173,71,1409,84,0,28.0,66.0,9.0,28.0,6.0,9.0,12.0,16.0,11.0,11.0,3.0,3.0,19.0,33.0,57.0,8.0,12.0,10.0,13.0,8.0,26.0,18.0,12.0,6.0,1.0,11.0,13,1,13,4,-9
2003,136,1451,74,1458,81,0,29.0,71.0,7.0,24.0,9.0,15.0,22.0,21.0,9.0,10.0,4.0,0.0,20.0,31.0,58.0,6.0,16.0,13.0,22.0,10.0,24.0,16.0,9.0,7.0,2.0,16.0,7,1,5,12,7
2003,137,1386,63,1120,65,1,19.55555555555556,52.44444444444444,5.333333333333333,21.33333333333333,11.555555555555555,14.22222222222222,13.333333333333334,18.666666666666668,9.77777777777778,10.666666666666666,7.111111111111111,3.555555555555556,16.88888888888889,22.22222222222222,50.66666666666666,6.222222222222222,16.0,7.111111111111111,11.555555555555555,12.444444444444445,21.33333333333333,9.77777777777778,13.333333333333334,3.555555555555556,4.444444444444445,14.22222222222222,2,1,10,7,-3
2003,137,1280,46,1139,47,0,16.0,44.0,6.0,21.0,8.0,14.0,8.0,22.0,10.0,10.0,6.0,4.0,13.0,18.0,47.0,5.0,18.0,6.0,8.0,7.0,19.0,5.0,8.0,3.0,0.0,15.0,1,1,12,5,-7
2003,137,1358,55,1196,85,0,19.0,57.0,6.0,18.0,11.0,18.0,12.0,25.0,10.0,16.0,1.0,4.0,16.0,32.0,61.0,13.0,28.0,8.0,14.0,9.0,31.0,24.0,10.0,6.0,3.0,15.0,30,1,2,15,13
2003,137,1104,62,1231,67,0,22.0,52.0,5.0,12.0,13.0,16.0,9.0,20.0,13.0,8.0,2.0,6.0,21.0,19.0,49.0,7.0,18.0,22.0,26.0,13.0,22.0,15.0,8.0,1.0,2.0,17.0,5,1,7,10,3
2003,137,1237,64,1246,95,0,22.0,60.0,4.0,15.0,16.0,22.0,15.0,18.0,10.0,19.0,7.0,1.0,15.0,40.0,65.0,10.0,20.0,5.0,11.0,10.0,25.0,22.0,13.0,7.0,4.0,17.0,31,1,1,16,15
2003,137,1122,64,1257,86,0,24.0,54.0,2.0,21.0,14.0,22.0,8.0,21.0,11.0,18.0,5.0,3.0,18.0,35.0,70.0,8.0,24.0,8.0,13.0,15.0,29.0,18.0,12.0,12.0,4.0,22.0,22,1,4,13,9
2003,137,1423,73,1268,75,0,20.0,55.0,13.0,29.0,20.0,26.0,10.0,19.0,16.0,8.0,7.0,1.0,19.0,27.0,54.0,10.0,19.0,11.0,15.0,8.0,27.0,17.0,13.0,3.0,3.0,20.0,2,1,6,11,5
2003,137,1160,64,1277,79,0,26.0,60.0,5.0,14.0,7.0,17.0,12.0,23.0,9.0,13.0,6.0,8.0,19.0,26.0,56.0,7.0,13.0,20.0,25.0,10.0,28.0,16.0,11.0,5.0,1.0,18.0,15,1,7,10,3
2003,137,1335,63,1329,77,0,20.0,41.0,8.0,18.0,15.0,16.0,2.0,13.0,17.0,18.0,5.0,0.0,20.0,27.0,50.0,7.0,20.0,16.0,28.0,10.0,15.0,15.0,11.0,12.0,0.0,17.0,14,1,6,11,5
2003,137,1447,61,1338,87,0,21.0,51.0,7.0,21.0,12.0,18.0,9.0,20.0,13.0,19.0,6.0,2.0,20.0,33.0,59.0,9.0,16.0,12.0,21.0,10.0,23.0,22.0,9.0,14.0,6.0,19.0,26,1,2,15,13
2003,137,1261,56,1345,80,0,20.0,60.0,6.0,26.0,10.0,17.0,17.0,18.0,7.0,16.0,7.0,3.0,13.0,27.0,52.0,9.0,16.0,17.0,19.0,8.0,25.0,7.0,19.0,9.0,1.0,18.0,24,1,9,8,-1
2003,137,1264,65,1393,76,0,22.0,61.0,6.0,21.0,15.0,18.0,14.0,14.0,16.0,11.0,9.0,2.0,14.0,30.0,52.0,4.0,11.0,12.0,15.0,11.0,28.0,16.0,18.0,5.0,9.0,17.0,11,1,3,14,11
2003,137,1421,61,1400,82,0,23.0,62.0,5.0,21.0,10.0,12.0,13.0,16.0,5.0,11.0,9.0,3.0,16.0,31.0,62.0,6.0,16.0,14.0,20.0,19.0,28.0,15.0,14.0,6.0,2.0,16.0,21,1,1,16,15
2003,137,1332,58,1428,60,0,19.0,55.0,3.0,17.0,17.0,24.0,13.0,29.0,8.0,17.0,6.0,2.0,22.0,18.0,61.0,9.0,23.0,15.0,18.0,13.0,23.0,8.0,15.0,7.0,4.0,22.0,2,1,9,8,-1
2003,137,1190,73,1448,76,0,24.0,60.0,5.0,10.0,20.0,28.0,13.0,25.0,7.0,15.0,12.0,4.0,20.0,29.0,69.0,6.0,23.0,12.0,20.0,19.0,29.0,13.0,19.0,8.0,9.0,19.0,3,1,2,15,13
2003,137,1407,59,1462,71,0,23.0,65.0,11.0,29.0,2.0,6.0,12.0,21.0,13.0,9.0,6.0,6.0,19.0,26.0,64.0,6.0,20.0,13.0,18.0,17.0,30.0,19.0,10.0,5.0,4.0,11.0,12,1,3,14,11
2003,138,1211,95,1112,96,2,27.2,61.6,8.8,24.0,12.8,16.8,12.8,21.6,16.0,8.8,4.0,4.0,20.0,27.2,59.2,5.6,19.2,16.8,23.2,14.4,23.2,14.4,7.2,5.6,3.2,16.0,1,1,1,9,8
2003,138,1390,74,1163,85,0,27.0,62.0,8.0,23.0,12.0,17.0,11.0,22.0,12.0,11.0,2.0,6.0,18.0,31.0,68.0,6.0,10.0,17.0,21.0,17.0,26.0,12.0,9.0,4.0,1.0,13.0,11,1,5,4,-1
2003,138,1141,60,1181,86,0,21.0,57.0,8.0,17.0,10.0,14.0,14.0,19.0,8.0,21.0,4.0,2.0,14.0,32.0,52.0,10.0,15.0,12.0,16.0,4.0,23.0,14.0,11.0,15.0,9.0,18.0,26,1,3,11,8
2003,138,1113,76,1242,108,0,28.0,69.0,4.0,15.0,16.0,23.0,17.0,14.0,11.0,11.0,7.0,5.0,21.0,40.0,59.0,5.0,9.0,23.0,34.0,12.0,28.0,21.0,13.0,6.0,6.0,20.0,32,1,2,10,8
2003,138,1281,92,1266,101,1,27.55555555555556,64.0,13.333333333333334,32.0,13.333333333333334,16.88888888888889,16.0,17.77777777777778,16.88888888888889,10.666666666666666,3.555555555555556,3.555555555555556,15.11111111111111,31.11111111111111,55.11111111111112,10.666666666666666,16.0,16.88888888888889,17.77777777777778,7.111111111111111,22.22222222222222,16.0,10.666666666666666,5.333333333333333,0.0,17.77777777777778,9,1,3,6,3
2003,138,1228,60,1323,68,0,22.0,63.0,5.0,17.0,11.0,16.0,10.0,31.0,12.0,9.0,6.0,3.0,10.0,25.0,61.0,13.0,24.0,5.0,5.0,5.0,32.0,12.0,11.0,5.0,4.0,13.0,8,1,5,4,-1
2003,138,1143,65,1328,74,0,27.0,52.0,5.0,16.0,6.0,12.0,6.0,18.0,6.0,9.0,5.0,4.0,23.0,26.0,51.0,7.0,13.0,15.0,24.0,13.0,23.0,16.0,12.0,2.0,2.0,15.0,9,1,1,8,7
2003,138,1409,60,1458,61,0,26.0,59.0,3.0,11.0,5.0,5.0,11.0,30.0,12.0,11.0,1.0,3.0,16.0,22.0,57.0,6.0,22.0,11.0,17.0,10.0,22.0,12.0,5.0,5.0,3.0,11.0,1,1,5,13,8
2003,139,1448,62,1120,68,0,18.0,49.0,8.0,23.0,18.0,21.0,12.0,23.0,5.0,18.0,7.0,7.0,23.0,24.0,56.0,4.0,19.0,16.0,20.0,12.0,21.0,11.0,14.0,9.0,6.0,18.0,6,1,10,2,-8
2003,139,1257,71,1139,79,0,28.0,54.0,11.0,25.0,4.0,4.0,8.0,19.0,13.0,14.0,8.0,2.0,21.0,27.0,52.0,14.0,22.0,11.0,19.0,10.0,18.0,21.0,12.0,6.0,2.0,11.0,8,1,12,4,-8
2003,139,1428,54,1246,74,0,19.0,48.0,4.0,14.0,12.0,16.0,8.0,14.0,8.0,16.0,7.0,2.0,19.0,26.0,55.0,4.0,13.0,18.0,18.0,13.0,22.0,11.0,13.0,4.0,3.0,16.0,20,1,1,9,8
2003,139,1462,64,1268,77,0,20.0,57.0,7.0,18.0,17.0,24.0,8.0,20.0,12.0,7.0,2.0,0.0,16.0,30.0,58.0,3.0,13.0,14.0,17.0,7.0,32.0,19.0,8.0,2.0,6.0,21.0,13,1,6,3,-3
2003,139,1196,46,1277,68,0,16.0,43.0,5.0,21.0,9.0,12.0,8.0,14.0,9.0,14.0,2.0,1.0,20.0,25.0,45.0,6.0,16.0,12.0,18.0,9.0,21.0,15.0,10.0,5.0,0.0,18.0,22,1,7,2,-5
2003,139,1231,52,1338,74,0,19.0,44.0,6.0,17.0,8.0,10.0,5.0,15.0,13.0,16.0,3.0,2.0,18.0,25.0,47.0,4.0,9.0,20.0,28.0,10.0,21.0,15.0,11.0,9.0,1.0,14.0,22,1,2,7,5
2003,139,1329,56,1393,68,0,22.0,63.0,3.0,19.0,9.0,19.0,11.0,27.0,16.0,22.0,8.0,4.0,19.0,26.0,57.0,5.0,12.0,11.0,18.0,5.0,33.0,16.0,17.0,11.0,9.0,19.0,12,1,3,6,3
2003,139,1345,67,1400,77,0,23.0,62.0,5.0,16.0,16.0,24.0,13.0,22.0,10.0,13.0,7.0,2.0,24.0,25.0,62.0,5.0,11.0,22.0,26.0,13.0,27.0,8.0,13.0,4.0,0.0,21.0,10,1,1,9,8
2003,143,1323,71,1112,88,0,25.0,59.0,10.0,23.0,11.0,18.0,9.0,27.0,15.0,19.0,6.0,4.0,16.0,36.0,76.0,7.0,14.0,9.0,11.0,14.0,30.0,19.0,10.0,12.0,5.0,17.0,17,1,1,5,4
2003,143,1181,65,1242,69,0,25.0,65.0,10.0,26.0,5.0,8.0,11.0,22.0,11.0,14.0,6.0,7.0,18.0,29.0,67.0,1.0,12.0,10.0,17.0,18.0,29.0,14.0,17.0,4.0,5.0,16.0,4,1,2,3,1
2003,143,1458,57,1246,63,0,19.0,45.0,8.0,21.0,11.0,16.0,7.0,19.0,9.0,15.0,7.0,1.0,20.0,24.0,49.0,1.0,5.0,14.0,24.0,12.0,21.0,9.0,14.0,10.0,4.0,17.0,6,1,1,5,4
2003,143,1338,74,1266,77,0,29.0,55.0,4.0,14.0,12.0,15.0,10.0,20.0,18.0,12.0,6.0,4.0,19.0,28.0,54.0,6.0,12.0,15.0,22.0,10.0,18.0,16.0,10.0,7.0,3.0,18.0,3,1,3,2,-1
2003,144,1268,58,1277,60,0,20.0,54.0,2.0,16.0,16.0,18.0,9.0,24.0,8.0,15.0,12.0,4.0,15.0,22.0,56.0,6.0,17.0,10.0,12.0,11.0,26.0,10.0,18.0,8.0,3.0,20.0,2,1,7,6,-1
2003,144,1139,54,1328,65,0,19.0,43.0,4.0,13.0,12.0,17.0,7.0,14.0,10.0,13.0,7.0,2.0,18.0,27.0,55.0,4.0,10.0,7.0,12.0,19.0,20.0,15.0,13.0,6.0,1.0,18.0,11,1,1,12,11
2003,144,1120,78,1393,79,0,27.0,63.0,10.0,22.0,14.0,17.0,14.0,26.0,15.0,17.0,5.0,5.0,19.0,29.0,66.0,5.0,14.0,16.0,21.0,15.0,21.0,14.0,10.0,9.0,7.0,17.0,1,1,3,10,7
2003,144,1163,78,1400,82,0,30.0,71.0,4.0,13.0,14.0,25.0,14.0,27.0,13.0,11.0,7.0,8.0,21.0,24.0,69.0,5.0,18.0,29.0,36.0,21.0,31.0,13.0,10.0,5.0,5.0,21.0,4,1,1,5,4
2003,145,1112,75,1242,78,0,23.0,55.0,10.0,22.0,19.0,23.0,11.0,26.0,16.0,19.0,8.0,2.0,17.0,29.0,67.0,8.0,26.0,12.0,18.0,15.0,22.0,16.0,15.0,13.0,5.0,20.0,3,1,2,1,-1
2003,145,1246,69,1266,83,0,25.0,64.0,4.0,16.0,15.0,24.0,20.0,16.0,14.0,11.0,10.0,2.0,19.0,31.0,55.0,10.0,19.0,11.0,15.0,10.0,26.0,21.0,15.0,6.0,6.0,22.0,14,1,3,1,-2
2003,146,1328,47,1393,63,0,18.0,58.0,5.0,28.0,6.0,11.0,14.0,14.0,10.0,19.0,13.0,4.0,16.0,25.0,48.0,2.0,12.0,11.0,19.0,12.0,28.0,16.0,24.0,13.0,2.0,13.0,16,1,3,1,-2
2003,146,1277,76,1400,85,0,25.0,54.0,8.0,16.0,18.0,26.0,12.0,26.0,11.0,12.0,1.0,2.0,28.0,25.0,51.0,6.0,14.0,29.0,38.0,8.0,20.0,16.0,4.0,6.0,4.0,22.0,9,1,1,7,6
2003,152,1266,61,1242,94,0,23.0,74.0,3.0,16.0,12.0,18.0,21.0,18.0,7.0,11.0,7.0,3.0,17.0,38.0,71.0,8.0,19.0,10.0,17.0,19.0,33.0,22.0,12.0,8.0,5.0,15.0,33,1,2,3,1
2003,152,1400,84,1393,95,0,27.0,63.0,10.0,21.0,20.0,32.0,17.0,17.0,20.0,14.0,6.0,2.0,26.0,32.0,56.0,7.0,13.0,24.0,31.0,9.0,28.0,14.0,13.0,9.0,2.0,21.0,11,1,3,1,-2
2003,154,1242,78,1393,81,0,31.0,71.0,4.0,20.0,12.0,30.0,26.0,26.0,18.0,18.0,9.0,4.0,16.0,30.0,63.0,11.0,18.0,10.0,17.0,11.0,25.0,13.0,17.0,10.0,7.0,22.0,3,1,3,2,-1
2004,134,1250,57,1197,72,0,18.0,61.0,7.0,30.0,14.0,19.0,21.0,21.0,12.0,17.0,7.0,3.0,20.0,25.0,63.0,6.0,20.0,16.0,23.0,19.0,25.0,11.0,12.0,8.0,2.0,15.0,15,1,16,16,0
2004,136,1356,64,1104,65,0,24.0,59.0,12.0,22.0,4.0,5.0,10.0,20.0,15.0,10.0,4.0,1.0,14.0,24.0,53.0,7.0,16.0,10.0,16.0,11.0,24.0,7.0,12.0,7.0,2.0,7.0,1,1,8,9,1
2004,136,1436,53,1163,70,0,19.0,60.0,11.0,32.0,4.0,6.0,11.0,18.0,10.0,12.0,7.0,1.0,19.0,26.0,52.0,6.0,14.0,12.0,23.0,11.0,31.0,14.0,13.0,6.0,3.0,8.0,17,1,2,15,13
2004,136,1173,69,1177,76,2,21.6,63.2,2.4,16.0,9.6,18.4,14.4,25.6,8.8,8.0,4.0,2.4,23.2,19.2,47.2,4.0,10.4,18.4,32.0,8.8,30.4,10.4,8.8,3.2,2.4,15.2,7,1,7,10,3
2004,136,1106,61,1181,96,0,22.0,57.0,7.0,20.0,10.0,17.0,9.0,22.0,7.0,21.0,7.0,1.0,20.0,32.0,66.0,9.0,26.0,23.0,31.0,17.0,29.0,19.0,14.0,14.0,4.0,19.0,35,1,1,16,15
2004,136,1434,49,1211,76,0,18.0,63.0,6.0,23.0,7.0,11.0,10.0,21.0,8.0,13.0,6.0,0.0,20.0,29.0,54.0,3.0,13.0,15.0,25.0,10.0,36.0,19.0,15.0,6.0,5.0,14.0,27,1,2,15,13
2004,136,1196,60,1264,75,0,21.0,45.0,3.0,13.0,15.0,22.0,4.0,22.0,4.0,14.0,4.0,4.0,18.0,26.0,60.0,6.0,15.0,17.0,21.0,13.0,23.0,10.0,10.0,8.0,4.0,21.0,15,1,12,5,-7
2004,136,1431,83,1268,86,0,29.0,56.0,5.0,17.0,20.0,24.0,9.0,20.0,13.0,14.0,2.0,2.0,25.0,29.0,59.0,8.0,18.0,20.0,31.0,16.0,21.0,17.0,14.0,7.0,6.0,20.0,3,1,4,13,9
2004,136,1277,66,1305,72,0,23.0,55.0,5.0,16.0,15.0,18.0,6.0,20.0,14.0,14.0,9.0,0.0,25.0,20.0,46.0,7.0,22.0,25.0,29.0,5.0,23.0,10.0,17.0,6.0,2.0,16.0,6,1,10,7,-3
2004,136,1102,52,1314,63,0,17.0,39.0,8.0,25.0,10.0,13.0,2.0,19.0,15.0,16.0,7.0,2.0,15.0,22.0,53.0,4.0,13.0,15.0,18.0,14.0,21.0,12.0,13.0,10.0,1.0,15.0,11,1,6,11,5
2004,136,1112,76,1371,80,0,28.0,53.0,5.0,11.0,15.0,19.0,7.0,22.0,12.0,14.0,4.0,3.0,15.0,27.0,58.0,8.0,22.0,18.0,24.0,12.0,21.0,12.0,10.0,6.0,0.0,19.0,4,1,8,9,1
2004,136,1251,63,1386,82,0,22.0,51.0,6.0,20.0,13.0,18.0,7.0,29.0,15.0,26.0,7.0,1.0,22.0,27.0,60.0,8.0,23.0,20.0,28.0,10.0,26.0,16.0,14.0,15.0,3.0,17.0,19,1,1,16,15
2004,136,1427,45,1390,71,0,15.0,63.0,2.0,15.0,13.0,21.0,22.0,17.0,2.0,19.0,8.0,3.0,15.0,27.0,54.0,6.0,14.0,11.0,15.0,11.0,29.0,11.0,20.0,11.0,9.0,20.0,26,1,1,16,15
2004,136,1140,75,1393,80,0,26.0,55.0,10.0,26.0,13.0,19.0,15.0,21.0,19.0,9.0,2.0,1.0,23.0,24.0,46.0,11.0,16.0,21.0,28.0,5.0,18.0,12.0,7.0,2.0,4.0,15.0,5,1,5,12,7
2004,136,1343,49,1400,66,0,18.0,51.0,5.0,26.0,8.0,12.0,9.0,14.0,11.0,7.0,5.0,0.0,18.0,23.0,50.0,11.0,15.0,9.0,14.0,17.0,26.0,10.0,13.0,3.0,1.0,16.0,17,1,3,14,11
2004,136,1150,73,1403,76,0,25.0,58.0,6.0,24.0,17.0,21.0,13.0,20.0,14.0,14.0,11.0,4.0,20.0,29.0,59.0,4.0,11.0,14.0,18.0,14.0,22.0,17.0,16.0,7.0,2.0,16.0,3,1,8,9,1
2004,136,1433,78,1448,79,0,29.0,57.0,11.0,20.0,9.0,13.0,7.0,20.0,17.0,17.0,7.0,4.0,22.0,28.0,54.0,6.0,16.0,17.0,27.0,9.0,23.0,16.0,11.0,7.0,2.0,16.0,1,1,4,13,9
2004,137,1428,51,1130,58,0,19.0,50.0,3.0,18.0,10.0,10.0,9.0,17.0,12.0,8.0,2.0,0.0,12.0,23.0,44.0,3.0,4.0,9.0,11.0,4.0,21.0,20.0,8.0,4.0,3.0,13.0,7,1,6,11,5
2004,137,1190,77,1153,80,0,29.0,74.0,6.0,23.0,13.0,20.0,17.0,21.0,14.0,6.0,11.0,3.0,14.0,29.0,62.0,13.0,32.0,9.0,11.0,12.0,33.0,22.0,17.0,3.0,11.0,19.0,3,1,4,13,9
2004,137,1320,60,1210,65,0,21.0,54.0,10.0,27.0,8.0,10.0,3.0,25.0,15.0,10.0,2.0,1.0,16.0,25.0,55.0,6.0,18.0,9.0,12.0,8.0,29.0,10.0,12.0,4.0,3.0,14.0,5,1,3,14,11
2004,137,1293,53,1228,72,0,17.0,49.0,8.0,20.0,11.0,17.0,9.0,18.0,8.0,10.0,4.0,2.0,13.0,27.0,60.0,9.0,24.0,9.0,13.0,16.0,28.0,19.0,8.0,5.0,5.0,17.0,19,1,5,12,7
2004,137,1227,53,1242,78,0,20.0,64.0,3.0,16.0,10.0,14.0,11.0,15.0,10.0,15.0,9.0,0.0,25.0,24.0,39.0,5.0,12.0,25.0,40.0,6.0,35.0,18.0,25.0,6.0,8.0,19.0,25,1,4,13,9
2004,137,1197,76,1246,96,0,30.0,66.0,11.0,30.0,5.0,12.0,12.0,17.0,13.0,17.0,13.0,1.0,19.0,35.0,62.0,11.0,28.0,15.0,23.0,13.0,29.0,23.0,17.0,8.0,5.0,15.0,20,1,1,16,15
2004,137,1376,43,1272,59,0,15.0,42.0,2.0,13.0,11.0,16.0,4.0,21.0,9.0,12.0,5.0,4.0,14.0,23.0,59.0,9.0,27.0,4.0,7.0,14.0,22.0,16.0,9.0,3.0,4.0,15.0,16,1,7,10,3
2004,137,1284,52,1280,85,0,18.0,51.0,9.0,27.0,7.0,15.0,3.0,17.0,12.0,17.0,7.0,0.0,18.0,30.0,56.0,8.0,22.0,17.0,23.0,13.0,34.0,19.0,17.0,12.0,3.0,13.0,33,1,2,15,13
2004,137,1418,52,1301,61,0,16.0,49.0,5.0,22.0,15.0,23.0,11.0,21.0,9.0,15.0,9.0,2.0,21.0,18.0,49.0,5.0,17.0,20.0,24.0,13.0,24.0,10.0,15.0,5.0,0.0,20.0,9,1,3,14,11
2004,137,1186,56,1329,75,0,21.0,59.0,3.0,19.0,11.0,13.0,12.0,15.0,19.0,14.0,8.0,2.0,15.0,30.0,55.0,2.0,6.0,13.0,16.0,11.0,26.0,15.0,15.0,12.0,5.0,16.0,19,1,2,15,13
2004,137,1344,58,1334,66,0,23.0,61.0,6.0,26.0,6.0,6.0,15.0,21.0,12.0,15.0,4.0,2.0,18.0,24.0,50.0,6.0,14.0,12.0,18.0,7.0,22.0,17.0,12.0,7.0,1.0,11.0,8,1,12,5,-7
2004,137,1416,44,1338,53,0,16.0,52.0,5.0,20.0,7.0,10.0,9.0,24.0,10.0,14.0,6.0,0.0,22.0,13.0,44.0,5.0,16.0,22.0,31.0,10.0,27.0,7.0,13.0,8.0,1.0,15.0,9,1,3,14,11
2004,137,1449,100,1412,102,0,35.0,64.0,6.0,20.0,24.0,34.0,10.0,31.0,19.0,16.0,6.0,5.0,30.0,30.0,65.0,9.0,26.0,33.0,44.0,11.0,26.0,23.0,12.0,8.0,2.0,26.0,2,1,9,8,-1
2004,137,1444,58,1435,71,0,22.0,63.0,2.0,19.0,12.0,16.0,18.0,18.0,10.0,12.0,13.0,1.0,19.0,26.0,46.0,11.0,19.0,8.0,18.0,8.0,25.0,16.0,17.0,9.0,5.0,15.0,13,1,6,11,5
2004,137,1350,64,1458,76,0,25.0,54.0,7.0,16.0,7.0,13.0,13.0,16.0,17.0,14.0,8.0,3.0,19.0,25.0,51.0,8.0,18.0,18.0,24.0,11.0,18.0,14.0,9.0,7.0,3.0,11.0,12,1,6,11,5
2004,137,1257,70,1462,80,0,25.0,63.0,10.0,32.0,10.0,13.0,13.0,13.0,18.0,10.0,7.0,1.0,23.0,23.0,46.0,9.0,18.0,25.0,29.0,12.0,27.0,15.0,15.0,6.0,1.0,12.0,10,1,7,10,3
2004,138,1390,67,1104,70,0,26.0,73.0,7.0,24.0,8.0,11.0,22.0,27.0,12.0,12.0,2.0,0.0,31.0,16.0,43.0,4.0,19.0,34.0,44.0,5.0,24.0,8.0,8.0,6.0,8.0,16.0,3,1,8,1,-7
2004,138,1177,55,1163,72,0,20.0,59.0,5.0,15.0,10.0,13.0,9.0,26.0,12.0,8.0,1.0,0.0,20.0,26.0,60.0,5.0,16.0,15.0,23.0,13.0,31.0,15.0,5.0,5.0,5.0,15.0,17,1,2,7,5
2004,138,1371,62,1181,90,0,24.0,57.0,3.0,17.0,11.0,16.0,8.0,14.0,11.0,10.0,4.0,0.0,27.0,26.0,48.0,4.0,11.0,34.0,38.0,11.0,29.0,16.0,10.0,3.0,3.0,18.0,28,1,1,8,7
